0:0:0:0:0:0:0:1 - - [13/Feb/2016:12:50:38 +0200] "GET /Toto_list_final_project/controller/edittask HTTP/1.1" 200 2108
0:0:0:0:0:0:0:1 - - [13/Feb/2016:12:50:38 +0200] "GET /Toto_list_final_project/controller/CSS/add_task_style.css HTTP/1.1" 200 285
0:0:0:0:0:0:0:1 - - [13/Feb/2016:12:50:39 +0200] "GET /Toto_list_final_project/controller/about HTTP/1.1" 200 1271
0:0:0:0:0:0:0:1 - - [13/Feb/2016:12:50:39 +0200] "GET /Toto_list_final_project/controller/login HTTP/1.1" 200 3853
0:0:0:0:0:0:0:1 - - [13/Feb/2016:12:50:44 +0200] "POST /Toto_list_final_project/controller/login HTTP/1.1" 200 912
0:0:0:0:0:0:0:1 - - [13/Feb/2016:12:50:46 +0200] "GET /Toto_list_final_project/controller/login HTTP/1.1" 200 3853
0:0:0:0:0:0:0:1 - - [13/Feb/2016:12:50:51 +0200] "POST /Toto_list_final_project/controller/login HTTP/1.1" 200 672
0:0:0:0:0:0:0:1 - - [13/Feb/2016:12:50:52 +0200] "GET /Toto_list_final_project/controller/adminsession HTTP/1.1" 200 1667
0:0:0:0:0:0:0:1 - - [13/Feb/2016:12:50:52 +0200] "GET /Toto_list_final_project/controller/CSS/add_task_style.css HTTP/1.1" 200 285
0:0:0:0:0:0:0:1 - - [13/Feb/2016:12:52:18 +0200] "GET /Toto_list_final_project/controller/adminsession HTTP/1.1" 200 285
0:0:0:0:0:0:0:1 - - [13/Feb/2016:12:52:18 +0200] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [13/Feb/2016:12:52:30 +0200] "GET /Toto_list_final_project/controller/userlist HTTP/1.1" 200 1452
0:0:0:0:0:0:0:1 - - [13/Feb/2016:12:52:30 +0200] "GET /Toto_list_final_project/controller/CSS/user_menu_style.css HTTP/1.1" 200 285
0:0:0:0:0:0:0:1 - - [13/Feb/2016:12:52:30 +0200] "GET /Toto_list_final_project/controller/login HTTP/1.1" 200 3853
0:0:0:0:0:0:0:1 - - [13/Feb/2016:12:52:39 +0200] "GET /Toto_list_final_project/controller/login HTTP/1.1" 200 3853
0:0:0:0:0:0:0:1 - - [13/Feb/2016:12:52:39 +0200] "GET /Toto_list_final_project/CSS/style.css HTTP/1.1" 200 2551
0:0:0:0:0:0:0:1 - - [13/Feb/2016:12:52:39 +0200] "GET /Toto_list_final_project/CSS/bootstrap.min.css HTTP/1.1" 200 121260
0:0:0:0:0:0:0:1 - - [13/Feb/2016:12:52:39 +0200] "GET /Toto_list_final_project/JS/bootstrap.min.js HTTP/1.1" 200 36871
0:0:0:0:0:0:0:1 - - [13/Feb/2016:12:52:39 +0200] "GET /Toto_list_final_project/JS/scripts.js HTTP/1.1" 200 502
0:0:0:0:0:0:0:1 - - [13/Feb/2016:12:52:39 +0200] "GET /Toto_list_final_project/CSS/bootstrap.min.css.map HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [13/Feb/2016:12:52:39 +0200] "GET /Toto_list_final_project/IMAGES/background-login.jpg HTTP/1.1" 200 125128
0:0:0:0:0:0:0:1 - - [13/Feb/2016:12:52:57 +0200] "POST /Toto_list_final_project/controller/login HTTP/1.1" 200 3853
0:0:0:0:0:0:0:1 - - [13/Feb/2016:12:52:57 +0200] "GET /Toto_list_final_project/CSS/style.css HTTP/1.1" 200 2551
0:0:0:0:0:0:0:1 - - [13/Feb/2016:12:52:57 +0200] "GET /Toto_list_final_project/JS/bootstrap.min.js HTTP/1.1" 200 36871
0:0:0:0:0:0:0:1 - - [13/Feb/2016:12:52:57 +0200] "GET /Toto_list_final_project/CSS/bootstrap.min.css HTTP/1.1" 200 121260
0:0:0:0:0:0:0:1 - - [13/Feb/2016:12:52:57 +0200] "GET /Toto_list_final_project/JS/scripts.js HTTP/1.1" 200 502
0:0:0:0:0:0:0:1 - - [13/Feb/2016:12:52:57 +0200] "GET /Toto_list_final_project/CSS/bootstrap.min.css.map HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [13/Feb/2016:12:52:58 +0200] "GET /Toto_list_final_project/IMAGES/background-login.jpg HTTP/1.1" 200 125128
0:0:0:0:0:0:0:1 - - [13/Feb/2016:12:55:31 +0200] "POST /Toto_list_final_project/controller/login HTTP/1.1" 200 3853
0:0:0:0:0:0:0:1 - - [13/Feb/2016:12:55:31 +0200] "GET /Toto_list_final_project/CSS/style.css HTTP/1.1" 200 2551
0:0:0:0:0:0:0:1 - - [13/Feb/2016:12:55:31 +0200] "GET /Toto_list_final_project/CSS/bootstrap.min.css HTTP/1.1" 200 121260
0:0:0:0:0:0:0:1 - - [13/Feb/2016:12:55:31 +0200] "GET /Toto_list_final_project/JS/bootstrap.min.js HTTP/1.1" 200 36871
0:0:0:0:0:0:0:1 - - [13/Feb/2016:12:55:31 +0200] "GET /Toto_list_final_project/JS/scripts.js HTTP/1.1" 200 502
0:0:0:0:0:0:0:1 - - [13/Feb/2016:12:55:31 +0200] "GET /Toto_list_final_project/CSS/bootstrap.min.css.map HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [13/Feb/2016:12:55:31 +0200] "GET /Toto_list_final_project/IMAGES/background-login.jpg HTTP/1.1" 200 125128
0:0:0:0:0:0:0:1 - - [13/Feb/2016:12:55:53 +0200] "POST /Toto_list_final_project/controller/login HTTP/1.1" 200 3853
0:0:0:0:0:0:0:1 - - [13/Feb/2016:12:55:53 +0200] "GET /Toto_list_final_project/CSS/style.css HTTP/1.1" 200 2551
0:0:0:0:0:0:0:1 - - [13/Feb/2016:12:55:53 +0200] "GET /Toto_list_final_project/JS/bootstrap.min.js HTTP/1.1" 200 36871
0:0:0:0:0:0:0:1 - - [13/Feb/2016:12:55:53 +0200] "GET /Toto_list_final_project/JS/scripts.js HTTP/1.1" 200 502
0:0:0:0:0:0:0:1 - - [13/Feb/2016:12:55:53 +0200] "GET /Toto_list_final_project/CSS/bootstrap.min.css HTTP/1.1" 200 121260
0:0:0:0:0:0:0:1 - - [13/Feb/2016:12:55:53 +0200] "GET /Toto_list_final_project/CSS/bootstrap.min.css.map HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [13/Feb/2016:12:55:53 +0200] "GET /Toto_list_final_project/IMAGES/background-login.jpg HTTP/1.1" 200 125128
